station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
0CO,9/2/2023 7:15,46.4,26.6,45.73,230,8,0,30.74,,10,16,CLR,,,,,,,,,,,,,,,41.85,K0CO 021315Z AUTO 23008G16KT 10SM CLR 08/M03 A3074 RMK AO2,
0CO,9/2/2023 7:35,46.4,28.4,49.24,250,8,0,30.74,,10,,CLR,,,,,,,,,,,,,,,41.85,K0CO 021335Z AUTO 25008KT 10SM CLR 08/M02 A3074 RMK AO2,
0CO,9/2/2023 7:55,46.4,28.4,49.24,250,8,0,30.74,,10,,CLR,,,,,,,,,,,,,,,41.85,K0CO 021355Z AUTO 25008KT 10SM CLR 08/M02 A3074 RMK AO2,
0CO,9/2/2023 8:15,46.4,28.4,49.24,250,8,0,30.75,,10,,CLR,,,,,,,,,,,,,,,41.85,K0CO 021415Z AUTO 25008KT 10SM CLR 08/M02 A3075 RMK AO2,
0CO,9/2/2023 8:35,48.2,26.6,42.73,270,13,0,30.75,,10,22,CLR,,,,,,,,,,,,,,,42.32,K0CO 021435Z AUTO 27013G22KT 10SM CLR 09/M03 A3075 RMK AO2,
0CO,9/2/2023 8:55,48.2,28.4,46.02,260,10,0,30.75,,10,20,CLR,,,,,,,,,,,,,,,43.28,K0CO 021455Z AUTO 26010G20KT 10SM CLR 09/M02 A3075 RMK AO2,
0CO,9/2/2023 9:15,48.2,28.4,46.02,300,11,0,30.75,,10,17,CLR,,,,,,,,,,,,,,,42.94,K0CO 021515Z AUTO 30011G17KT 10SM CLR 09/M02 A3075 RMK AO2,
0CO,9/2/2023 9:35,46.4,32,57,310,8,0,30.76,,10,,CLR,,,,,,,,,,,,,,,41.85,K0CO 021535Z AUTO 31008KT 271V331 10SM CLR 08/00 A3076 RMK AO2,
0CO,9/2/2023 9:55,42.8,33.8,70.28,330,8,0,30.77,,10,,CLR,,,,,,,,,,,,,,,37.42,K0CO 021555Z AUTO 33008KT 10SM CLR 06/01 A3077 RMK AO2,
0CO,9/2/2023 10:15,44.6,35.6,70.48,320,8,0,30.77,,10,,CLR,,,,,,,,,,,,,,,39.63,K0CO 021615Z AUTO 32008KT 271V341 10SM CLR 07/02 A3077 RMK AO2,
0CO,9/2/2023 10:35,46.4,35.6,65.83,20,4,0,30.77,,10,,CLR,,,,,,,,,,,,,,,44.24,K0CO 021635Z AUTO 02004KT 10SM CLR 08/02 A3077 RMK AO2,
0CO,9/2/2023 10:55,44.6,35.6,70.48,320,8,0,30.77,,10,,CLR,,,,,,,,,,,,,,,39.63,K0CO 021655Z AUTO 32008KT 281V031 10SM CLR 07/02 A3077 RMK AO2,
0CO,9/2/2023 11:15,46.4,35.6,65.83,320,6,0,30.77,,10,17,CLR,,,,,,,,,,,,,,,42.87,K0CO 021715Z AUTO 32006G17KT 10SM CLR 08/02 A3077 RMK AO2,
0CO,9/2/2023 11:35,46.4,35.6,65.83,290,8,0,30.78,,10,16,CLR,,,,,,,,,,,,,,,41.85,K0CO 021735Z AUTO 29008G16KT 251V341 10SM CLR 08/02 A3078 RMK AO2,
0CO,9/2/2023 11:55,48.2,35.6,61.52,0,0,0,30.77,,10,,CLR,,,,,,,,,,,,,,,48.2,K0CO 021755Z AUTO 00000KT 10SM CLR 09/02 A3077 RMK AO2,
0CO,9/2/2023 12:15,48.2,35.6,61.52,320,8,0,30.77,,10,14,SCT,,,,11000,,,,,,,,,,,44.07,K0CO 021815Z AUTO 32008G14KT 261V021 10SM SCT110 09/02 A3077 RMK AO2,
0CO,9/2/2023 12:35,50,37.4,61.76,350,4,0,30.77,,10,,SCT,BKN,,,3900,11000,,,,,,,,,,50,K0CO 021835Z AUTO 35004KT 10SM SCT039 BKN110 10/03 A3077 RMK AO2,
0CO,9/2/2023 12:55,51.8,37.4,57.77,320,3,0,30.77,,10,,SCT,BKN,BKN,,3900,4500,11000,,,,,,,,,51.8,K0CO 021855Z AUTO 32003KT 10SM SCT039 BKN045 BKN110 11/03 A3077 RMK AO2,
0CO,9/2/2023 13:15,51.8,35.6,53.81,30,4,0,30.77,,10,14,BKN,BKN,,,4500,10000,,,,,,,,,,51.8,K0CO 021915Z AUTO 03004G14KT 10SM BKN045 BKN100 11/02 A3077 RMK AO2,
0CO,9/2/2023 13:35,51.8,35.6,53.81,310,8,0,30.77,,10,,BKN,BKN,OVC,,4200,5000,10000,,,,,,,,,51.8,K0CO 021935Z AUTO 31008KT 281V061 10SM BKN042 BKN050 OVC100 11/02 A3077 RMK AO2,
0CO,9/2/2023 13:55,51.8,37.4,57.77,350,7,0,30.77,,10,,SCT,BKN,OVC,,4100,6000,10000,,,,,,,,,51.8,K0CO 021955Z AUTO 35007KT 301V071 10SM SCT041 BKN060 OVC100 11/03 A3077 RMK AO2,
0CO,9/2/2023 14:15,53.6,35.6,50.36,330,6,0,30.77,,10,17,BKN,BKN,OVC,,4300,5000,10000,,,,,,,,,53.6,K0CO 022015Z AUTO 33006G17KT 10SM BKN043 BKN050 OVC100 12/02 A3077 RMK AO2,
0CO,9/2/2023 14:35,51.8,37.4,57.77,40,3,0,30.77,,10,,SCT,BKN,OVC,,4100,4800,7500,,,,,,,,,51.8,K0CO 022035Z AUTO 04003KT 10SM SCT041 BKN048 OVC075 11/03 A3077 RMK AO2,
0CO,9/2/2023 14:55,51.8,39.2,61.99,340,7,0,30.75,,10,,SCT,OVC,,,4500,6000,,,,,,,,,,51.8,K0CO 022055Z AUTO 34007KT 10SM SCT045 OVC060 11/04 A3075 RMK AO2,
